,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_leaf_size,param_n_neighbors,param_weights,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
36,0.0004603068033854167,0.0008710225423177084,0.9733333333333334,0.9633590810061398,20,4,uniform,"{'weights': 'uniform', 'n_neighbors': 4, 'leaf_size': 20}",43,0.9803921568627451,0.9494949494949495,0.9607843137254902,0.9797979797979798,0.9791666666666666,0.9607843137254902,2.063235439578242e-06,2.433998240012098e-06,0.009020673423841885,0.01250441205598303
37,0.0005870660146077474,0.0010862350463867188,0.98,1.0,20,4,distance,"{'weights': 'distance', 'n_neighbors': 4, 'leaf_size': 20}",10,0.9803921568627451,1.0,0.9607843137254902,1.0,1.0,1.0,0.00017198628272032732,0.00021756693629871923,0.015924659219017204,0.0
38,0.0006457169850667318,0.0011777083079020183,0.9866666666666667,0.9667260843731432,20,5,uniform,"{'weights': 'uniform', 'n_neighbors': 5, 'leaf_size': 20}",1,0.9803921568627451,0.9595959595959596,0.9803921568627451,0.9797979797979798,1.0,0.9607843137254902,0.00025400620056192344,0.00042036084157412093,0.009146591207600491,0.009255948857633523
39,0.00048828125,0.0009593168894449869,0.98,1.0,20,5,distance,"{'weights': 'distance', 'n_neighbors': 5, 'leaf_size': 20}",10,0.9803921568627451,1.0,0.9607843137254902,1.0,1.0,1.0,3.186673391080498e-05,3.105203050044324e-05,0.015924659219017204,0.0
40,0.00046364466349283856,0.000950018564860026,0.9733333333333334,0.9667260843731432,20,6,uniform,"{'weights': 'uniform', 'n_neighbors': 6, 'leaf_size': 20}",43,0.9803921568627451,0.9595959595959596,0.9607843137254902,0.9797979797979798,0.9791666666666666,0.9607843137254902,1.1894408501860113e-06,9.90722834551464e-05,0.009020673423841885,0.009255948857633523
41,0.0004843870798746745,0.0009882450103759766,0.9866666666666667,1.0,20,6,distance,"{'weights': 'distance', 'n_neighbors': 6, 'leaf_size': 20}",1,0.9803921568627451,1.0,0.9803921568627451,1.0,1.0,1.0,2.571852744103402e-05,8.961769278227606e-05,0.009146591207600491,0.0
42,0.0006213982899983724,0.0009789466857910156,0.9733333333333334,0.9733610615963557,20,7,uniform,"{'weights': 'uniform', 'n_neighbors': 7, 'leaf_size': 20}",43,0.9803921568627451,0.9595959595959596,0.9607843137254902,0.98989898989899,0.9791666666666666,0.9705882352941176,0.000186370786444469,6.533394144476797e-05,0.009020673423841885,0.01252556946578696
43,0.0004753271738688151,0.0009409586588541666,0.98,1.0,20,7,distance,"{'weights': 'distance', 'n_neighbors': 7, 'leaf_size': 20}",10,0.9803921568627451,1.0,0.9607843137254902,1.0,1.0,1.0,5.756161677752119e-06,1.0929757669029196e-05,0.015924659219017204,0.0
44,0.00046332677205403644,0.0008927186330159506,0.98,0.9700930877401466,20,8,uniform,"{'weights': 'uniform', 'n_neighbors': 8, 'leaf_size': 20}",10,0.9803921568627451,0.9696969696969697,0.9803921568627451,0.9797979797979798,0.9791666666666666,0.9607843137254902,1.1894408501860113e-06,3.3510794071051303e-06,0.0005716619504750275,0.007767348604130532
45,0.00046594937642415363,0.0009516874949137369,0.98,1.0,20,8,distance,"{'weights': 'distance', 'n_neighbors': 8, 'leaf_size': 20}",10,0.9803921568627451,1.0,0.9803921568627451,1.0,0.9791666666666666,1.0,3.781438590167465e-06,5.18830577340109e-06,0.0005716619504750275,0.0
